order,component,dataset,provider,exact_access,native_resolution,temporal_coverage,crs,use,notes
1,Yatinuwara DSD boundary,Sri Lanka NSDI Survey_10k - Divisional_Secretariat_10K,Sri Lanka National Spatial Data Infrastructure / Survey Department,https://gisapps.nsdi.gov.lk/server/rest/services/SLNSDI/Survey_10k/MapServer/3/query?where=ds_division_name%3D%27Yatinuwara%27&outFields=*&returnGeometry=true&f=geojson,Vector polygon; Survey_10k source,Current service/version at download time,EPSG:4326,Authoritative study boundary; clip/mask every input,Notebook also tries district_name='Kandy' and uses GADM only as a documented fallback.
2,DEM,"Copernicus DEM GLO-30, tile N07E080",Copernicus / AWS Open Data,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N07_00_E080_00_DEM/Copernicus_DSM_COG_10_N07_00_E080_00_DEM.tif,~30 m,Copernicus DEM 2021 release; source TanDEM-X mainly 2011-2015,EPSG:4326 horizontal,Elevation and slope derivation,Fallback mirror URL is coded in notebook if public S3 object access fails.
3,Slope,Derived from Copernicus DEM,Generated in notebook,Derived locally,30 m output grid,Same terrain source as DEM,EPSG:32644,Primary terrain susceptibility indicator,Calculated after DEM is reprojected to metric UTM coordinates.
4,Rainfall,CHIRPS v2 1981-2024 44-year annual climatology,UCSB Climate Hazards Center,https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_annual/tifs/chirps-v2.0.1981-2024.44yrs.tif,0.05 degrees (~5 km),1981-2024 climatology,Geographic lat/lon,Climatological rainfall-trigger potential for reproducible baseline LS-LRSI,Not interpreted as 30 m rainfall detail. Dynamic 1/3/7-day CHIRPS can replace this trigger later.
5,Land cover,"ESA WorldCover 2021 v200, tile N06E078",European Space Agency WorldCover,https://esa-worldcover.s3.eu-central-1.amazonaws.com/v200/2021/map/ESA_WorldCover_10m_2021_v200_N06E078_Map.tif,10 m,2021,EPSG:4326,Land-surface / land-use susceptibility proxy,Nearest-neighbour resampling; classes translated to transparent evidence scores.
6,Soil,"SoilGrids 2.0 clay content, 15-30 cm mean",ISRIC - World Soil Information,https://files.isric.org/soilgrids/latest/data/clay/clay_15-30cm_mean.vrt,250 m,SoilGrids 2.0 model release,SoilGrids native projected grid,Regional soil-texture susceptibility proxy,Raw clay units are g/kg x10; notebook divides by 10. Alignment to 30 m does not create 30 m soil information.
7,Roads,OpenStreetMap roads,OpenStreetMap contributors; Geofabrik / Overpass,https://download.geofabrik.de/asia/sri-lanka-latest-free.gpkg.zip,Vector; volunteered mapping,Continuously updated,EPSG:4326 in source/API,"Distance to roads as proxy for cut slopes, loading and drainage disturbance",Notebook uses OSMnx/Overpass to avoid downloading the ~356 MB national GeoPackage.
8,Streams,OpenStreetMap waterways,OpenStreetMap contributors; Geofabrik / Overpass,https://download.geofabrik.de/asia/sri-lanka-latest-free.gpkg.zip,Vector; volunteered mapping,Continuously updated,EPSG:4326 in source/API,Distance to streams as drainage/toe-erosion proxy,Notebook retrieves river/stream/canal/drain features for the Yatinuwara polygon.
9,Historical landslides,NASA Global Landslide Catalog / COOLR point layer,NASA,https://services9.arcgis.com/wb84GxCwiPzK3Eow/ArcGIS/rest/services/nasa_global_landslide_catalog_point/FeatureServer/0/query,Point inventory; heterogeneous positional accuracy,Catalog-dependent; event fields include dates,Requested from service as EPSG:4326,Low-weight historical-instability prior and independent inventory evidence,"Notebook queries a 25 km buffer. If no usable events exist, this factor is omitted and remaining S weights are renormalized."
10,Population,"WorldPop 2024 R2024A, Sri Lanka, unconstrained 100 m",WorldPop,https://data.worldpop.org/GIS/Population/Global_2015_2030/R2024A/2024/LKA/v1/100m/unconstrained/lka_pop_2024_UC_100m_R2024A_v1.tif,~100 m,2024,Geographic WGS84,Population/exposure component,Converted to relative population-density exposure; 30 m alignment is not interpreted as exact 30 m population counts.
